stage,Alanine and aspartate metabolism,Arginine and Proline Metabolism,Citric acid cycle,Eicosanoid metabolism,Fatty acid oxidation,"Glycine, serine, alanine and threonine metabolism",Lysine metabolism,Methionine and cysteine metabolism,Nucleotide interconversion,Pentose phosphate pathway,Tryptophan metabolism,Urea cycle,"Valine, leucine, and isoleucine metabolism"
h,0.6059101129011899,0.7242782276523787,0.867638350569406,0.9662968865168001,0.9801799940089689,0.5811619096584865,0.4404475287466149,0.8955626054695421,0.18562568990964115,0.9692031841197593,0.5711876767100291,0.08156369713590317,0.5331363940177977
h,0.5308353344816851,0.8367964152040165,0.9325333430489154,0.9870178352281147,0.7610715855137646,0.5659935881675113,0.2672234427536491,0.9570696381637938,0.19225837719863112,0.8740395448683149,0.5585738106462109,0.0,0.5620216096542635
h,0.9315013836784702,0.7160280353517742,0.5857498152950792,0.9313154358813626,0.7696667209528002,0.7994982814497632,0.2672234427536491,0.8760710257992051,0.17933959928935908,0.8717534443044849,0.4225279464608468,0.2444560646795857,0.4770221436196549
h,0.8811507587521691,0.34108748235655517,0.4605601583055441,0.8861682430090766,0.6420345745298177,0.1448247491198062,0.18430062367046468,0.6538647922977752,0.3910290181852695,0.9629266515948816,0.7368035425067837,0.3077038763515034,0.2995596716369671
h,0.660462623007334,0.8075166362324919,0.7971824670982611,0.8410125031143897,0.9221775137998427,0.5472271186459263,0.29645819814299423,0.9184597243457097,0.41422782791135637,0.986115516701857,0.5430522523551138,0.04150779150479091,0.5242089618542966
h,0.7425568272883583,1.0,0.9618747348359847,1.0,0.9959168002441694,0.4585009108289061,0.2370849943280387,0.9679996799201589,0.4891285845975289,0.9942216249559579,0.41513936082707403,0.11827235658556486,0.5859335946787082
h,1.0,1.0,0.9708553568523023,0.9845987899053426,0.7951544287073552,0.017996167228387042,0.21312172287204398,0.789029805555952,0.29440402097314455,0.8473542028229535,0.5552946596723545,0.15128310659492056,0.5542678962272267
h,0.7829231400837516,0.5958704257659025,0.439518048249543,0.9848171039561129,0.9876427151711494,0.4218679685579358,0.43638836465729053,0.6955021982479455,0.3910290181852695,1.0,0.3790202418538251,0.14262539372473748,0.6184893930645237
h,0.6338961810388828,0.8741274904346102,0.9147882234652831,1.0,0.8695375428393527,0.5472271186459263,0.27129864632885053,0.9566309284561537,0.32703261666589056,1.0,0.5430522523551138,0.05091119066683869,0.44845627365946006
h,0.7168491561479886,1.0,1.0,0.8888164748606877,0.8669859270425198,0.002246384367298182,0.2366665975128919,0.9776519257982321,0.39234310857118,0.9281739171869532,0.542059717954429,0.15631166494197213,0.43225396239019853
h,0.7048701955358818,1.0,1.0,1.0,1.0,0.5472271186459263,0.29645819814299423,1.0,0.3910290181852695,1.0,0.5430522523551138,0.10120044552758055,0.4672548510187285
h,0.7048701955358818,0.8495426616841553,1.0,1.0,1.0,0.5725650244075015,0.29645819814299423,1.0,0.5273545532410949,0.9208542496023343,0.5430522523551138,0.0015833939023046433,0.5416051172874585
h,0.6015364484832286,1.0,1.0,0.8789348456016911,0.8876994949381688,0.5577750316535479,0.29645819814299423,0.9585015941488421,0.6101576210990165,0.9024458923926443,0.6127446926946166,0.11348519396915785,0.44942864922061626
h,0.6271201478178389,1.0,0.773731848859776,0.9185657362414035,0.9914940681914303,0.5472271186459263,0.2987955171233367,0.9783827848860799,0.3385168189098871,1.0,0.5294474986162929,0.13357033407362984,0.538242368886706
h,0.6524104509623704,0.7088389793144063,0.8815087652614897,0.9456130292797942,0.742650207645177,0.5472271186459263,0.29645819814299423,0.9220779467618823,0.3694191357215202,1.0,0.5407945954368436,0.10114525480369035,0.5416051172874585
h,0.58519521045223,1.0,0.9862055943543768,0.7470490311905145,0.9890309290193816,0.5014719835978273,0.3203901856511791,0.7789864283277627,0.31009385712372717,1.0,0.5342820665884322,0.10330516354779155,0.557648533548215
h,0.7048231235431257,1.0,1.0,0.7637453791309207,1.0,0.5472271186459263,0.29645819814299423,0.952066260335178,0.3910290181852695,1.0,0.5430522523551138,0.10498941702785258,0.5617566193983653
h,0.7048701955358818,1.0,1.0,0.9985910745114259,0.9062507958342629,0.5472271186459263,0.29645819814299423,0.9158389723892655,0.3910290181852695,1.0,0.5430522523551138,0.1044834504452258,0.5416051172874585
h,0.6874509305145967,1.0,0.9143986373689383,0.7361024621650277,0.9062507958342629,0.5472271186459263,0.29645819814299423,1.0,0.3910290181852695,1.0,0.5430522523551138,0.11032450906616759,0.32049957009547286
h,0.7048701955358818,1.0,1.0,1.0,1.0,0.5472271186459263,0.29645819814299423,1.0,0.3910290181852695,1.0,0.5430522523551138,0.10196770314851451,0.5416051172874585
h,0.7048701955358818,0.9544142373316987,0.9143986373689383,0.9571484308498633,1.0,0.6782467754158504,0.28891365801985824,1.0,0.3910290181852695,0.9692274959117033,0.5899671710415051,0.08897409110305038,0.5456021408155165
h,0.8522380431422238,1.0,0.7535219592772527,0.865808266353137,1.0,0.5088242864786509,0.2913113465558104,0.9549467706340466,0.4153617097804017,0.9974624245490469,0.6134273103825344,0.10861518978994364,0.5351154795819903
h,0.7036766782750368,1.0,0.7489114352386648,0.7908201511680906,1.0,0.5472271186459263,0.29645819814299423,1.0,0.3910290181852695,1.0,0.5430522523551138,0.10737066759984276,0.5416051172874585
h,0.6245145908018298,1.0,0.9836166585526566,0.87675115119531,0.7922643410998974,0.5948903317490484,0.2637638349490158,0.9524428434056355,0.5754937127892101,1.0,0.6342743280807253,0.19373836982875414,0.5416051172874585
h,0.681228127792144,1.0,0.7529876273230506,1.0,1.0,0.5472271186459263,0.29645819814299423,0.980865994058253,0.36407754747316584,1.0,0.5430522523551138,0.12842764497521458,0.5235836911572448
h,0.7048701955358818,1.0,1.0,1.0,1.0,0.5472271186459263,0.29645819814299423,1.0,0.3910290181852695,1.0,0.5430522523551138,0.10196770314851451,0.5416051172874585
h,0.8010616124381207,0.8949677097901146,0.955780292906959,0.9456413229782161,0.5867844945254407,0.4367257884644939,0.22689770844489254,0.9854736356861454,0.4007744014211273,0.6304726014042251,0.6717655432093559,0.06419061736624847,0.6564947617687206
h,0.7423987924882256,1.0,0.9941321654532314,1.0,1.0,0.5190833148133395,0.2936371860204491,1.0,0.39172950955917396,1.0,0.5387685712209507,0.10298619742272695,0.5519827794427062
h,0.7048701955358818,0.9053007895702945,1.0,1.0,1.0,0.5472271186459263,0.29645819814299423,1.0,0.3910290181852695,1.0,0.5430522523551138,0.06517906470691648,0.5416051172874585
h,0.6986279567113924,0.8236127411366474,0.8243828863451031,0.6184902371263009,0.9745259382188074,0.5591543079639619,0.16059747951210698,0.9303432221748824,0.3910290181852695,0.9249728929704392,0.5334040380198947,0.012072706896248708,0.506806379070966
h,0.8871221665718281,0.8806114101264596,0.6683814095334267,0.3780263144265384,0.6752285248257035,0.06500989357350513,0.1620580938410989,0.0,0.5704008780934605,0.0,0.4408054728982883,0.1867542210703398,0.5530099652408357
h,0.3538844919926419,0.5388765220727325,0.44133278204106857,0.4030912641255275,0.4099387293092857,0.3101631404595184,0.555366466879784,0.42511669199599045,0.555917547483729,0.44599097910859475,0.2873932496905223,0.3156547417401671,0.7645466865164994
h,0.7143126047649595,0.9827914777141913,0.9048294700511986,0.8949558983474087,0.9623902688713903,0.5051132842089894,0.3781329982390979,0.8683675101829026,0.3910290181852695,0.9586484324625635,0.6916413979565782,0.10179005994406742,0.3798519607730697
h,0.7040947229500075,1.0,1.0,0.7117440789387209,0.8127911442583797,0.5472271186459263,0.24532924021109018,0.7587582817749121,0.3910290181852695,0.5218395894691641,0.6416414585112635,0.10280093188930824,0.5392319856908517
h,0.5552711988721912,0.721233171490528,0.49618650625522176,0.9818750614075694,0.7104580743098793,0.4349928811537604,0.2690313487053012,0.8826775778441366,0.36072531112214,0.9526049103251789,0.5106230240305402,0.025871768947886165,0.6045887520242091
h,0.6288985943986413,0.7534401195366663,0.8243828863451031,1.0,0.9621956104390647,0.9372127755943043,0.09123554507039096,0.8751639500672983,0.5076730877737397,0.8903353292092065,0.8915128996263739,0.0,0.5307277173804125
h,1.0,0.7079122963941147,0.6413037527791408,0.974939086974967,0.6253678035690038,0.4632920876368954,0.3696951811816337,0.19106936680561193,0.6484687544097462,0.19355156201910567,0.4765992060072878,0.21463651505888087,0.6373785645922884
h,0.8759878388832697,0.8701418392430018,0.9928843933628019,0.7723746293942992,0.911293270049223,0.5609258623218001,0.26655509986804315,0.8299355798578775,0.5429451032056153,0.7791763512343215,0.6728805368635408,0.3215646956890663,0.34530311193125807
